Date;Time:;Location:;AC        Type:;Operator:;Route:;cn / ln:;Flight #:;Is_military;Military country;Aboard_all;Aboard_passengers;Fatalities_all;Fatalities_passengers;Ground:;Registration:;Summary:
18.03.1946;;Between Chungking and Shanghai, China;;China National Aviation Corporation;Chunking - Shanghai;;;No;;?;?;?;?;;139;Disappeared while en route. Plane never located.
09.11.1944;;Seljord, Norway;;Military - U.S. Army Air Corps;;;;Yes; U.S. Army Air Corps;?;?;?;?;;42-52196;
09.05.1989;;Near Tainjin, China;Bell 412;Aero Asahi;;33070;;No;;?;?;10;?;0;JA9596;
20.02.1992;;En route from Argentina  to  California;Boeing B-747;Aerolineas Argentinas;;;386;No;;?;?;1;?;0;;A passenger died of cholera while en route.
13.03.1954;;Dien Bien Phu, South Vietnam;C-46;Aigle Azur;;;;No;;?;?;?;?;;;Shot down.
10.04.1953;;Near Anchieta Island, Brazil;Doublas Dc-3;REAL;;;;No;;?;?;26;?;;;
01.10.1942;;Kunming, China;Douglas C-47;China National Aviation Corporation;;;;No;;?;?;?;?;;69;Crashed while attempting to land after losing oil pressure on one engine.
26.12.1936;;Nanking, China;Douglas DC-2;China National Aviation Corporation;;;;No;;?;?;?;?;;NC14269;
13.06.1956;;Over North Carolina;Douglas DC-3;Piedmont;;;;No;;?;?;1;1;0;;A passenger fell to his death after the door of the plane opened.
22.12.1952;;Damascus, Syria;Douglas DC-3;Syrian Air;;;;No;;?;?;9;?;;;
20.01.1951;;Huilyo, Peru;Douglas DC-3;Military - TAM;;;;Yes; TAM;?;?;16;?;;;
21.07.1919;16:55:00;Chicago, Illinois;FD Type Dirigible;Wingfoot Air Express Goodyear Tire;Shuttle;;;No;;?;?;3;2;10;;The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed
24.06.1957;;Horn Island, Queensland, Australia;L-Hudson;Adastra Airways;;;;No;;?;?;6;?;;;Crashed on approach.
20.04.1957;;Jirkouk, Iraq;Lockheed Super Constellation;Air France;Tehran, Iran - Istanbul, Turkey;4514;;No;;?;?;1;1;0;F-BGNE;Explosive decompression. A passenger was sucked out of a window at 18,000 feet when the window he was sitting next to shattered. The body was never recovered.
10.08.1934;;Ningbo, China;Sikorsky S-38B;China National Aviation Corporation;;;;No;;?;?;?;?;;;
13.08.1935;;Hangow, China;Sikorsky S-38B;China National Aviation Corporation;;;;No;;?;?;?;?;;NV40V;Destoryed in a storm.
07.09.1925;;Toul, France;Spad 33;CIDNA;;;;No;;?;?;?;?;;;
20.10.1919;;English Channel off Forkstone, Kent;De Havilland DH-4;Aircraft Transport and Travel;;;;No;;0;0;0;0;0;G-EAHG;Crashed into the sea while attempting to land in fog.
12.01.1927;;Estaires, France;Fokker F-VII;Fokker;Delivery flight;4938;;No;;0;0;0;0;0;G-EBPL;The flight crew encountered poor weather conditions and made an emergency landing. The aircraft landed in a field badly damaged and written off.
22.09.1981;;Near Babaeski, Turkey;Northrop F-5A;Military - Turkish Air Force;;;;Yes; Turkish Air Force;0;0;0;0;40;;The fighter crashed into a village after the pilot ejected from the plane.
27.03.1986;;Bangui, Central African Republic;Sepecat Jaguar A;Military - French Air Force;;;;Yes; French Air Force;0;0;0;0;35;;The jet fighter crashed into a school shortly after taking off after experiencing engine failure.
13.07.1949;;Jamnagar, Gujarat state, India;Hawker Hunter;Indian Air Force;Training;;;No;;0;1;0;1;14;;Crashed into a garage near Jamnagar railway station while on a training flight. Apart from the pilot, at least 14 on the ground were killed and about 60 were injured.
08.11.1943;;Poona, India;;Military - Indian Air Force;;;;Yes; Indian Air Force;1;?;1;?;37;;Crashed into a village.
20.06.1940;;Near Ouistreham, France;Dewoitine D-338;Air France;;22;;No;;1;?;1;?;0;F-ARTD;Inadvertently shot down by French anti-aircraft fire.
16.08.1920;;Bedford, England;Armstrong-Whitworth F-K-8;By Air;;;;No;;1;0;1;0;0;G-EALW;The plane crashed during a cargo flight under unknown circumstances.
